YearRange,Description,Units,Count,IntakeYear
2008/9,Vitamin D,μg,0.330830871,120.7532679
2008/9,Vitamin E,mg,1.632979661,596.0375763
2009/10,Energy,kcal,253.3676471,92479.19119
2009/10,Energy,MJ,1.060799665,387.1918777
2009/10,Energy from all sources excluding alcohol,kcal,234.7521966,85684.55176
2009/10,Protein,g,9.251872855,3376.933592
2009/10,Fat,g,11.37324922,4151.235965
2009/10,Saturates,g,3.49931544,1277.250136
2009/10,Mono-unsaturates,g,4.717508359,1721.890551
2009/10,Poly-unsaturates,g,2.363174245,862.5585994
2009/10,Cholesterol,mg,37.05286824,13524.29691
2009/10,Carbohydrate (b),g,25.45930661,9292.646913
2009/10,Total sugars,g,9.352896092,3413.807074
2009/10,Non-milk extrinsic sugars,g,6.980133388,2547.748687
2009/10,Starch,g,16.10443351,5878.118231
2009/10,Fibre (c),g,1.715650962,626.2126011
2009/10,Alcohol,g,2.659350064,970.6627734
2009/10,Calcium,mg,73.74119724,26915.53699
2009/10,Iron,mg,1.245700464,454.6806694
2009/10,Zinc,mg,1.062791499,387.9188971
2009/10,Magnesium,mg,29.43965021,10745.47233
2009/10,Sodium (d),g,0.328514032,119.9076217
2009/10,Potassium,g,0.376511333,137.4266365
2009/10,Thiamin,mg,0.20609134,75.2233391
2009/10,Riboflavin,mg,0.149315623,54.5002024
2009/10,Niacin Equivalent,mg,4.497520303,1641.594911
2009/10,Vitamin B6,mg,0.348216271,127.0989389
2009/10,Vitamin B12,μg,0.590298695,215.4590237
2009/10,Folate,μg,41.58274517,15177.70199
2009/10,Vitamin C,mg,8.947861725,3265.96953
2009/10,Retinol,μg,46.58674003,17004.16011
2009/10,Carotene,μg,380.3631321,138832.5432
2009/10,Retinol equivalent,μg,109.9805282,40142.89279
2009/10,Vitamin D,μg,0.339032157,123.7467373
2009/10,Vitamin E,mg,1.675386245,611.5159794
2010/11,Energy,kcal,246.60622,90011.2703
2010/11,Energy,MJ,1.032490922,376.8591865
2010/11,Energy from all sources excluding alcohol,kcal,228.8315895,83523.53017
2010/11,Protein,g,9.092938065,3318.922394
2010/11,Fat,g,11.07794247,4043.449002
2010/11,Saturates,g,3.393150107,1238.499789
2010/11,Mono-unsaturates,g,4.606747613,1681.462879
2010/11,Poly-unsaturates,g,2.305745807,841.5972196
2010/11,Cholesterol,mg,36.19173874,13209.98464
2010/11,Carbohydrate (b),g,24.75728164,9036.407799
2010/11,Total sugars,g,8.875806525,3239.669382
2010/11,Non-milk extrinsic sugars,g,6.563043645,2395.51093
2010/11,Starch,g,15.87938311,5795.974835
2010/11,Fibre (c),g,1.680759847,613.4773442
2010/11,Alcohol,g,2.539232925,926.8200176
2010/11,Calcium,mg,72.35884005,26410.97662
2010/11,Iron,mg,1.229881692,448.9068176
2010/11,Zinc,mg,1.042417301,380.4823149
2010/11,Magnesium,mg,28.6927188,10472.84236
2010/11,Sodium (d),g,0.323155641,117.951809
2010/11,Potassium,g,0.367005968,133.9571783
2010/11,Thiamin,mg,0.20164773,73.60142145
2010/11,Riboflavin,mg,0.145426467,53.08066046
2010/11,Niacin Equivalent,mg,4.405558818,1608.028969
2010/11,Vitamin B6,mg,0.338174375,123.4336469
2010/11,Vitamin B12,μg,0.576975732,210.5961422
2010/11,Folate,μg,40.44817862,14763.5852
2010/11,Vitamin C,mg,8.694737093,3173.579039
2010/11,Retinol,μg,45.72809998,16690.75649
2010/11,Carotene,μg,365.1590128,133283.0397
2010/11,Retinol equivalent,μg,106.5878682,38904.57189
2010/11,Vitamin D,μg,0.329845002,120.3934257
2010/11,Vitamin E,mg,1.633783239,596.3308822
2011/12,Energy,kcal,228.9686383,83573.55298
2011/12,Energy,MJ,0.958645895,349.9057517
2011/12,Energy from all sources excluding alcohol,kcal,212.5585967,77583.8878
2011/12,Protein,g,8.47756414,3094.310911
2011/12,Fat,g,10.20482035,3724.759428
2011/12,Saturates,g,3.125259275,1140.719635
2011/12,Mono-unsaturates,g,4.234278975,1545.511826
2011/12,Poly-unsaturates,g,2.12865826,776.9602649
2011/12,Cholesterol,mg,33.64580506,12280.71885
2011/12,Carbohydrate (b),g,23.16969983,8456.940438
2011/12,Total sugars,g,8.385999428,3060.889791
2011/12,Non-milk extrinsic sugars,g,6.243064731,2278.718627
2011/12,Starch,g,14.78139319,5395.208514
2011/12,Fibre (c),g,1.534892271,560.2356789
2011/12,Alcohol,g,2.34429165,855.6664523
2011/12,Calcium,mg,67.98556547,24814.7314
2011/12,Iron,mg,1.137603438,415.2252549
2011/12,Zinc,mg,0.964415906,352.0118057
2011/12,Magnesium,mg,26.71205357,9749.899553
2011/12,Sodium (d),g,0.299903288,109.4647001
2011/12,Potassium,g,0.338771418,123.6515676
2011/12,Thiamin,mg,0.185466406,67.69523819
2011/12,Riboflavin,mg,0.136062147,49.66268366
2011/12,Niacin Equivalent,mg,4.124950247,1505.60684
2011/12,Vitamin B6,mg,0.312754963,114.1555615
2011/12,Vitamin B12,μg,0.540303764,197.2108739
2011/12,Folate,μg,37.12377779,13550.17889
2011/12,Vitamin C,mg,7.980348318,2912.827136
2011/12,Retinol,μg,42.38148831,15469.24323
2011/12,Carotene,μg,323.7647616,118174.138
2011/12,Retinol equivalent,μg,96.3422166,35164.90906
2011/12,Vitamin D,μg,0.314614285,114.834214
2011/12,Vitamin E,mg,1.512129338,551.9272084
2012/13,Energy,kcal,220.9254368,80637.78443
2012/13,Energy,MJ,0.924970619,337.6142759
2012/13,Energy from all sources excluding alcohol,kcal,206.3137709,75304.52638
2012/13,Protein,g,8.267511114,3017.641557
2012/13,Fat,g,9.852754272,3596.255309
2012/13,Saturates,g,2.995961142,1093.525817
2012/13,Mono-unsaturates,g,4.092277153,1493.681161
2012/13,Poly-unsaturates,g,2.06988848,755.5092952
2012/13,Cholesterol,mg,32.63020252,11910.02392
2012/13,Carbohydrate (b),g,22.57123248,8238.499855
2012/13,Total sugars,g,8.100391379,2956.642853
2012/13,Non-milk extrinsic sugars,g,6.01413067,2195.157695
2012/13,Starch,g,14.46835901,5280.951039
2012/13,Fibre (c),g,1.492717892,544.8420306
2012/13,Alcohol,g,2.087380836,761.8940051
2012/13,Calcium,mg,65.64310694,23959.73403
2012/13,Iron,mg,1.100916509,401.8345258
2012/13,Zinc,mg,0.934068758,340.9350967
2012/13,Magnesium,mg,25.78713946,9412.305903
2012/13,Sodium (d),g,0.289922923,105.8218669
2012/13,Potassium,g,0.328490368,119.8989843
2012/13,Thiamin,mg,0.179913506,65.66842969
2012/13,Riboflavin,mg,0.130420729,47.60356609
2012/13,Niacin Equivalent,mg,4.013725846,1465.009934
2012/13,Vitamin B6,mg,0.302084474,110.260833
2012/13,Vitamin B12,μg,0.519905256,189.7654184
2012/13,Folate,μg,35.73181673,13042.11311
2012/13,Vitamin C,mg,7.764846302,2834.1689
2012/13,Retinol,μg,40.12507329,14645.65175
2012/13,Carotene,μg,313.5227455,114435.8021
2012/13,Retinol equivalent,μg,92.37880191,33718.2627
2012/13,Vitamin D,μg,0.31250097,114.0628541
2012/13,Vitamin E,mg,1.477248977,539.1958766
2013/14,Energy,kcal,221.3391058,80788.77362
2013/14,Energy,MJ,0.926702568,338.2464373
2013/14,Energy from all sources excluding alcohol,kcal,207.4587519,75722.44444
2013/14,Protein,g,8.352978307,3048.837082
2013/14,Fat,g,9.95332716,3632.964413
2013/14,Saturates,g,3.002235775,1095.816058
2013/14,Mono-unsaturates,g,4.154117998,1516.253069
2013/14,Poly-unsaturates,g,2.096815495,765.3376557
2013/14,Cholesterol,mg,33.26106862,12140.29005
2013/14,Carbohydrate (b),g,22.54351919,8228.384504
2013/14,Total sugars,g,7.940771463,2898.381584
2013/14,Non-milk extrinsic sugars,g,5.836762425,2130.418285
2013/14,Starch,g,14.60045391,5329.165677
2013/14,Fibre (c),g,1.516289127,553.4455314
2013/14,Alcohol,g,1.982907707,723.7613131
2013/14,Calcium,mg,65.22967943,23808.83299
2013/14,Iron,mg,1.110677665,405.3973477
2013/14,Zinc,mg,0.941410411,343.6148
2013/14,Magnesium,mg,25.89185829,9450.528276
2013/14,Sodium (d),g,0.292226655,106.6627291
2013/14,Potassium,g,0.332393414,121.3235961
2013/14,Thiamin,mg,0.182431651,66.58755262
2013/14,Riboflavin,mg,0.130971993,47.80477745
2013/14,Niacin Equivalent,mg,4.04456751,1476.267141
2013/14,Vitamin B6,mg,0.30474633,111.2324105
2013/14,Vitamin B12,μg,0.523896661,191.2222813
2013/14,Folate,μg,36.08762628,13171.98359
2013/14,Vitamin C,mg,7.879010949,2875.838996
2013/14,Retinol,μg,40.25236968,14692.11493
2013/14,Carotene,μg,318.5629072,116275.4611
2013/14,Retinol equivalent,μg,93.34612483,34071.33556
2013/14,Vitamin D,μg,0.314879254,114.9309277
2013/14,Vitamin E,mg,1.492792411,544.86923
2014/15,Energy,kcal,232.4407074,84840.8582
2014/15,Energy,MJ,0.973182754,355.2117052
2014/15,Energy from all sources excluding alcohol,kcal,218.4259352,79725.46635
2014/15,Protein,g,8.88010278,3241.237515
2014/15,Fat,g,10.59134943,3865.842542
2014/15,Saturates,g,3.182136166,1161.479701
2014/15,Mono-unsaturates,g,4.437243493,1619.593875
2014/15,Poly-unsaturates,g,2.226672187,812.7353483
2014/15,Cholesterol,mg,35.78980196,13063.27772
2014/15,Carbohydrate (b),g,23.37621963,8532.320165
2014/15,Total sugars,g,8.029573101,2930.794182
2014/15,Non-milk extrinsic sugars,g,5.788736569,2112.888848
2014/15,Starch,g,15.34457144,5600.768576
2014/15,Fibre (c),g,1.6153527,589.6037355
2014/15,Alcohol,g,2.002110307,730.7702621
2014/15,Calcium,mg,68.2536514,24912.58276
2014/15,Iron,mg,1.171244837,427.5043655
2014/15,Zinc,mg,1.004608846,366.6822288
2014/15,Magnesium,mg,27.34498458,9980.919372
2014/15,Sodium (d),g,0.308571996,112.6287785
2014/15,Potassium,g,0.354130808,129.2577449
2014/15,Thiamin,mg,0.195833849,71.47935489
2014/15,Riboflavin,mg,0.13975705,51.01132325
2014/15,Niacin Equivalent,mg,4.273003132,1559.646143
2014/15,Vitamin B6,mg,0.325862894,118.9399563
2014/15,Vitamin B12,μg,0.567211649,207.0322519
2014/15,Folate,μg,38.51123932,14056.60235
2014/15,Vitamin C,mg,8.460820749,3088.199573
2014/15,Retinol,μg,43.27549983,15795.55744
2014/15,Carotene,μg,346.036418,126303.2926
2014/15,Retinol equivalent,μg,100.9481711,36846.08245
2014/15,Vitamin D,μg,0.333308492,121.6575996
2014/15,Vitamin E,mg,1.576055538,575.2602714
2015/16,Energy,kcal,225.2655654,82221.93137
2015/16,Energy,MJ,0.943141869,344.2467822
2015/16,Energy from all sources excluding alcohol,kcal,207.7019126,75811.1981
2015/16,Protein,g,8.395661817,3064.416563
2015/16,Fat,g,9.935304909,3626.386292
2015/16,Saturates,g,3.008867482,1098.236631
2015/16,Mono-unsaturates,g,4.137781874,1510.290384
2015/16,Poly-unsaturates,g,2.082958296,760.279778
2015/16,Cholesterol,mg,33.7513061,12319.22673
2015/16,Carbohydrate (b),g,22.61005771,8252.671064
2015/16,Total sugars,g,8.094131982,2954.358173
2015/16,Non-milk extrinsic sugars,g,5.99253249,2187.274359
2015/16,Starch,g,14.51357472,5297.454773
2015/16,Fibre (c),g,1.496454046,546.2057268
2015/16,Alcohol,g,2.509093243,915.8190337
2015/16,Calcium,mg,65.63277989,23955.96466
2015/16,Iron,mg,1.124467878,410.4307755
2015/16,Zinc,mg,0.949267612,346.4826784
2015/16,Magnesium,mg,26.44857184,9653.728722
2015/16,Sodium (d),g,0.292600833,106.799304
2015/16,Potassium,g,0.336440202,122.8006737
2015/16,Thiamin,mg,0.182937376,66.77214224
2015/16,Riboflavin,mg,0.133827284,48.84695866
2015/16,Niacin Equivalent,mg,4.100399706,1496.645893
2015/16,Vitamin B6,mg,0.310057353,113.1709338
2015/16,Vitamin B12,μg,0.535853322,195.5864625
2015/16,Folate,μg,36.55819946,13343.7428
2015/16,Vitamin C,mg,7.981454569,2913.230918
2015/16,Retinol,μg,41.42761281,15121.07868
2015/16,Carotene,μg,309.8010391,113077.3793
2015/16,Retinol equivalent,μg,93.06105083,33967.28355
2015/16,Vitamin D,μg,0.31395678,114.5942247
2015/16,Vitamin E,mg,1.478684152,539.7197155
2016/17,Energy,kcal,236.0385774,86154.08075
2016/17,Energy,MJ,0.988246316,360.7099053
2016/17,Energy from all sources excluding alcohol,kcal,221.3401042,80789.13803
2016/17,Protein,g,9.060075516,3306.927563
2016/17,Fat,g,10.69081032,3902.145767
2016/17,Saturates,g,3.232600272,1179.899099
2016/17,Mono-unsaturates,g,4.473062819,1632.667929
2016/17,Poly-unsaturates,g,2.235579712,815.9865949
2016/17,Cholesterol,mg,35.12391652,12820.22953
2016/17,Carbohydrate (b),g,23.72352569,8659.086877
2016/17,Total sugars,g,8.203287869,2994.200072
2016/17,Non-milk extrinsic sugars,g,5.913582552,2158.457631
2016/17,Starch,g,15.51795241,5664.05263
2016/17,Fibre (c),g,1.626573985,593.6995045
2016/17,Alcohol,g,2.09978188,766.4203862
2016/17,Calcium,mg,70.37143901,25685.57524
2016/17,Iron,mg,1.188086755,433.6516656
2016/17,Zinc,mg,1.028362215,375.3522085
2016/17,Magnesium,mg,27.87284889,10173.58984
2016/17,Sodium (d),g,0.312216828,113.9591422
2016/17,Potassium,g,0.35785873,130.6184365
2016/17,Thiamin,mg,0.196637317,71.77262071
2016/17,Riboflavin,mg,0.142215145,51.90852793
2016/17,Niacin Equivalent,mg,4.378694028,1598.22332
2016/17,Vitamin B6,mg,0.331190149,120.8844044
2016/17,Vitamin B12,μg,0.572811827,209.0763169
2016/17,Folate,μg,38.91530982,14204.08808
2016/17,Vitamin C,mg,8.406521887,3068.380489
2016/17,Retinol,μg,42.88087664,15651.51997
2016/17,Carotene,μg,346.2121701,126367.4421
2016/17,Retinol equivalent,μg,100.5828383,36712.73598
2016/17,Vitamin D,μg,0.334846975,122.2191459
2016/17,Vitamin E,mg,1.583313119,577.9092884
2017/18,Energy,kcal,225.6947299,82378.57641
2017/18,Energy,MJ,0.944938695,344.9026237
2017/18,Energy from all sources excluding alcohol,kcal,205.9818824,75183.38708
2017/18,Protein,g,8.374103905,3056.547925
2017/18,Fat,g,9.873971881,3603.999737
2017/18,Saturates,g,2.998731006,1094.536817
2017/18,Mono-unsaturates,g,4.118074337,1503.097133
2017/18,Poly-unsaturates,g,2.058249777,751.2611686
2017/18,Cholesterol,mg,33.09696064,12080.39063
2017/18,Carbohydrate (b),g,22.32080376,8147.093372
2017/18,Total sugars,g,7.917620613,2889.931524
2017/18,Non-milk extrinsic sugars,g,5.816313362,2122.954377
2017/18,Starch,g,14.40112917,5256.412147
2017/18,Fibre (c),g,1.478584186,539.6832279
2017/18,Alcohol,g,2.816121076,1027.884193
2017/18,Calcium,mg,66.26216063,24185.68863
2017/18,Iron,mg,1.1302831,412.5533315
2017/18,Zinc,mg,0.952102268,347.5173278
2017/18,Magnesium,mg,26.67506627,9736.399189
2017/18,Sodium (d),g,0.291304421,106.3261137
2017/18,Potassium,g,0.337858422,123.318324
2017/18,Thiamin,mg,0.182377187,66.56767326
2017/18,Riboflavin,mg,0.133430629,48.70217959
2017/18,Niacin Equivalent,mg,4.110277662,1500.251347
2017/18,Vitamin B6,mg,0.309103353,112.8227238
2017/18,Vitamin B12,μg,0.527372103,192.4908176
2017/18,Folate,μg,36.30463274,13251.19095
2017/18,Vitamin C,mg,7.961712115,2906.024922
2017/18,Retinol,μg,38.74495147,14141.90729
2017/18,Carotene,μg,303.4764585,110768.9074
2017/18,Retinol equivalent,μg,89.32429118,32603.36628
2017/18,Vitamin D,μg,0.320775032,117.0828867
2017/18,Vitamin E,mg,1.457654536,532.0439056
2018/19,Energy,kcal,247.3792635,90293.43118
2018/19,Energy,MJ,1.0357275,378.0405375
2018/19,Energy from all sources excluding alcohol,kcal,228.1621006,83279.16672
2018/19,Protein,g,9.262567866,3380.837271
2018/19,Fat,g,11.08670465,4046.647197
2018/19,Saturates,g,3.355792625,1224.864308
2018/19,Mono-unsaturates,g,4.641170117,1694.027093
2018/19,Poly-unsaturates,g,2.311628354,843.7443492
2018/19,Cholesterol,mg,37.20973759,13581.55422
2018/19,Carbohydrate (b),g,24.37280699,8896.074551
2018/19,Total sugars,g,8.506938003,3105.032371
2018/19,Non-milk extrinsic sugars,g,6.179120104,2255.378838
2018/19,Starch,g,15.86384207,5790.302356
2018/19,Fibre (c),g,1.670968743,609.9035912
2018/19,Alcohol,g,2.745308982,1002.037778
2018/19,Calcium,mg,72.19344129,26350.60607
2018/19,Iron,mg,1.272385288,464.4206301
2018/19,Zinc,mg,1.0457685,381.7055025
2018/19,Magnesium,mg,28.80299758,10513.09412
2018/19,Sodium (d),g,0.322718476,117.7922437
2018/19,Potassium,g,0.373885239,136.4681122
2018/19,Thiamin,mg,0.205363027,74.95750486
2018/19,Riboflavin,mg,0.145069357,52.95031531
2018/19,Niacin Equivalent,mg,4.429908865,1616.916736
2018/19,Vitamin B6,mg,0.334112906,121.9512107
2018/19,Vitamin B12,μg,0.588293625,214.7271731
2018/19,Folate,μg,39.98996998,14596.33904
2018/19,Vitamin C,mg,8.990129727,3281.39735
2018/19,Retinol,μg,45.68315266,16674.35072
2018/19,Carotene,μg,356.3435818,130065.4074
2018/19,Retinol equivalent,μg,105.0736726,38351.8905
2018/19,Vitamin D,μg,0.355642927,129.8096684
2018/19,Vitamin E,mg,1.631800021,595.6070077
